b,s_q,mean_sk,h_q,h_kv,d,dv,causal,varlen,latency,tflops,bandwidth
,,,,,,,,,,,
8,1,5000,128,1,576,512,True,False,0.115,97,419
8,1,5000,128,1,576,512,True,True,0.110,98,425
8,2,5000,128,1,576,512,True,False,0.212,105,239
8,2,5000,128,1,576,512,True,True,0.217,107,241
8,1,5000,64,1,576,512,True,False,0.066,84,715
8,1,5000,64,1,576,512,True,True,0.061,76,649
8,2,5000,64,1,576,512,True,False,0.115,97,421
8,2,5000,64,1,576,512,True,True,0.120,100,431
8,1,5000,32,1,576,512,True,False,0.064,43,726
8,1,5000,32,1,576,512,True,True,0.076,44,735
8,2,5000,32,1,576,512,True,False,0.066,84,715
8,2,5000,32,1,576,512,True,True,0.066,85,718
8,1,5000,16,1,576,512,True,False,0.063,22,730
8,1,5000,16,1,576,512,True,True,0.054,21,691
8,2,5000,16,1,576,512,True,False,0.064,43,728
8,2,5000,16,1,576,512,True,True,0.065,44,733
16,1,5000,128,1,576,512,True,False,0.207,107,466
16,1,5000,128,1,576,512,True,True,0.208,109,474
16,2,5000,128,1,576,512,True,False,0.398,112,254
16,2,5000,128,1,576,512,True,True,0.458,115,257
16,1,5000,64,1,576,512,True,False,0.116,96,816
16,1,5000,64,1,576,512,True,True,0.111,95,808
16,2,5000,64,1,576,512,True,False,0.205,109,471
16,2,5000,64,1,576,512,True,True,0.194,107,464
16,1,5000,32,1,576,512,True,False,0.112,50,832
16,1,5000,32,1,576,512,True,True,0.138,53,893
16,2,5000,32,1,576,512,True,False,0.115,97,820
16,2,5000,32,1,576,512,True,True,0.110,96,816
16,1,5000,16,1,576,512,True,False,0.111,25,834
16,1,5000,16,1,576,512,True,True,0.122,26,877
16,2,5000,16,1,576,512,True,False,0.112,50,835
16,2,5000,16,1,576,512,True,True,0.101,48,810
32,1,5000,128,1,576,512,True,False,0.390,114,495
32,1,5000,128,1,576,512,True,True,0.362,113,492
32,2,5000,128,1,576,512,True,False,0.753,118,268
32,2,5000,128,1,576,512,True,True,0.812,117,265
32,1,5000,64,1,576,512,True,False,0.207,108,911
32,1,5000,64,1,576,512,True,True,0.202,107,907
32,2,5000,64,1,576,512,True,False,0.389,115,497
32,2,5000,64,1,576,512,True,True,0.409,115,497
32,1,5000,32,1,576,512,True,False,0.203,55,918
32,1,5000,32,1,576,512,True,True,0.208,55,919
32,2,5000,32,1,576,512,True,False,0.206,108,916
32,2,5000,32,1,576,512,True,True,0.232,111,935
32,1,5000,16,1,576,512,True,False,0.200,28,926
32,1,5000,16,1,576,512,True,True,0.190,28,921
32,2,5000,16,1,576,512,True,False,0.202,55,924
32,2,5000,16,1,576,512,True,True,0.213,56,938
64,1,5000,128,1,576,512,True,False,0.737,121,524
64,1,5000,128,1,576,512,True,True,0.745,118,510
64,2,5000,128,1,576,512,True,False,1.455,122,278
64,2,5000,128,1,576,512,True,True,1.431,121,276
64,1,5000,64,1,576,512,True,False,0.391,114,966
64,1,5000,64,1,576,512,True,True,0.385,114,967
64,2,5000,64,1,576,512,True,False,0.732,122,528
64,2,5000,64,1,576,512,True,True,0.758,118,513
64,1,5000,32,1,576,512,True,False,0.384,58,971
64,1,5000,32,1,576,512,True,True,0.411,58,978
64,2,5000,32,1,576,512,True,False,0.389,114,970
64,2,5000,32,1,576,512,True,True,0.409,115,973
64,1,5000,16,1,576,512,True,False,0.381,29,973
64,1,5000,16,1,576,512,True,True,0.371,29,967
64,2,5000,16,1,576,512,True,False,0.381,58,978
64,2,5000,16,1,576,512,True,True,0.388,59,980
128,1,5000,128,1,576,512,True,False,1.427,125,541
128,1,5000,128,1,576,512,True,True,1.481,122,530
128,2,5000,128,1,576,512,True,False,2.886,124,280
128,2,5000,128,1,576,512,True,True,2.941,124,280
128,1,5000,64,1,576,512,True,False,0.739,121,1022
128,1,5000,64,1,576,512,True,True,0.743,121,1027
128,2,5000,64,1,576,512,True,False,1.417,126,546
128,2,5000,64,1,576,512,True,True,1.387,124,539
128,1,5000,32,1,576,512,True,False,0.726,61,1027
128,1,5000,32,1,576,512,True,True,0.740,59,993
128,2,5000,32,1,576,512,True,False,0.733,122,1030
128,2,5000,32,1,576,512,True,True,0.748,119,1004
128,1,5000,16,1,576,512,True,False,0.722,31,1028
128,1,5000,16,1,576,512,True,True,0.755,30,999
128,2,5000,16,1,576,512,True,False,0.723,62,1032
128,2,5000,16,1,576,512,True,True,0.770,60,1009
256,1,5000,128,1,576,512,True,False,2.829,126,546
256,1,5000,128,1,576,512,True,True,2.833,125,544
256,2,5000,128,1,576,512,True,False,5.731,124,282
256,2,5000,128,1,576,512,True,True,6.155,124,280
256,1,5000,64,1,576,512,True,False,1.427,125,1058
256,1,5000,64,1,576,512,True,True,1.456,122,1035
256,2,5000,64,1,576,512,True,False,2.809,127,550
256,2,5000,64,1,576,512,True,True,2.702,126,549
256,1,5000,32,1,576,512,True,False,1.412,63,1057
256,1,5000,32,1,576,512,True,True,1.440,62,1034
256,2,5000,32,1,576,512,True,False,1.420,126,1063
256,2,5000,32,1,576,512,True,True,1.426,124,1053
256,1,5000,16,1,576,512,True,False,1.408,32,1053
256,1,5000,16,1,576,512,True,True,1.468,31,1029
256,2,5000,16,1,576,512,True,False,1.406,63,1062
256,2,5000,16,1,576,512,True,True,1.418,63,1050
