d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,46,45,67,29,184,97,5,5,0,468,468,28,285
16,1,16,44,69,64,29,182,98,5,5,0,486,486,29,551
16,1,32,42,105,57,26,183,100,5,10,0,513,513,31,1032
16,1,64,37,192,54,21,185,101,10,21,0,590,590,35,1828
16,1,128,42,365,57,23,189,103,21,43,0,779,779,47,2723
24,1,8,46,45,67,29,125,68,5,5,0,380,380,23,347
24,1,16,44,69,64,29,125,68,5,10,0,399,399,24,666
24,1,32,42,105,57,26,127,69,10,21,0,426,426,25,1280
24,1,64,37,192,54,21,129,70,21,43,0,503,503,30,2133
24,1,128,42,365,57,23,135,75,43,87,0,697,729,44,2909
32,1,8,46,45,67,29,98,54,5,8,0,339,339,20,400
32,1,16,44,69,64,29,97,55,8,16,0,358,358,21,761
32,1,32,42,105,57,26,98,55,16,32,0,383,383,23,1391
32,1,64,37,192,54,21,99,56,32,65,0,459,479,29,2206
32,1,128,42,365,57,23,105,60,65,131,0,652,765,46,2782
32,1,256,58,686,72,29,147,83,131,262,0,1075,1356,81,3160
48,1,8,46,45,67,29,68,39,6,13,0,294,294,17,470
48,1,16,44,69,64,29,69,39,13,27,0,314,314,19,842
48,1,32,42,105,57,26,70,39,27,54,0,339,355,21,1523
48,1,64,37,192,54,21,73,41,54,109,0,418,519,31,2064
48,1,128,42,365,57,23,95,53,109,219,0,635,887,53,2415
48,1,256,58,686,72,29,176,103,219,438,0,1124,1649,99,2585
72,1,8,46,45,67,29,48,27,10,21,0,262,262,15,533
72,1,16,44,69,64,29,48,27,21,43,0,281,297,18,888
72,1,32,42,105,57,26,48,27,43,87,0,305,382,23,1391
72,1,64,37,192,54,21,51,29,87,175,0,384,596,35,1828
72,1,128,42,365,57,23,65,37,175,350,0,589,1054,62,2064
72,1,256,58,686,72,29,117,67,350,701,0,1029,1984,118,2169
96,1,8,46,45,67,29,37,21,10,21,0,245,245,14,571
96,1,16,44,69,64,29,38,21,21,43,0,265,287,17,941
96,1,32,42,105,57,26,40,23,43,87,0,293,374,22,1454
96,1,64,37,192,54,21,54,30,87,175,0,388,599,35,1828
96,1,128,42,365,57,23,88,48,175,350,0,623,1077,64,2000
96,1,256,58,686,72,29,169,101,350,701,0,1115,2036,121,2115
144,1,8,46,45,67,29,26,12,10,21,0,225,234,14,571
144,1,16,44,69,64,29,26,12,21,43,0,244,275,16,1000
144,1,32,42,105,57,26,28,13,43,87,0,271,362,21,1523
144,1,64,37,192,54,21,33,20,87,175,0,357,578,34,1882
144,1,128,42,365,57,23,58,33,175,350,0,578,1047,62,2064
144,1,256,58,686,72,29,113,64,350,701,0,1022,1980,117,2188
288,1,8,46,45,67,29,14,6,10,21,0,207,222,13,615
