d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,44,109,66,31,278,145,5,5,0,1346,1346,82,195
16,1,16,44,208,67,31,278,145,5,5,0,1546,1546,94,340
16,1,32,43,363,68,31,278,145,5,10,0,1856,1856,113,566
16,1,64,47,746,70,31,279,146,10,21,0,2638,2638,160,800
16,1,128,75,1480,128,50,279,146,21,43,0,4316,4316,263,973
24,1,8,44,109,66,31,176,102,5,5,0,1056,1056,64,250
24,1,16,44,208,67,31,176,102,5,10,0,1256,1256,76,421
24,1,32,43,363,68,31,176,102,10,21,0,1566,1566,95,673
24,1,64,47,746,70,31,176,102,21,43,0,2344,2344,142,901
24,1,128,75,1480,128,50,336,192,43,87,0,4522,4522,275,930
32,1,8,44,109,66,31,141,76,5,8,0,934,934,56,285
32,1,16,44,208,67,31,142,76,8,16,0,1136,1136,69,463
32,1,32,43,363,68,31,142,76,16,32,0,1446,1446,88,727
32,1,64,47,746,70,31,142,77,32,65,0,2226,2226,135,948
32,1,128,75,1480,128,50,270,137,65,131,0,4280,4280,261,980
32,1,256,135,2838,247,94,535,273,131,262,0,8244,8244,502,1019
48,1,8,44,109,66,31,96,52,6,13,0,796,796,48,333
48,1,16,44,208,67,31,96,52,13,27,0,996,996,60,533
48,1,32,43,363,68,31,96,52,27,54,0,1306,1306,79,810
48,1,64,47,746,70,31,178,92,54,109,0,2328,2328,142,901
48,1,128,75,1480,128,50,336,190,109,219,0,4518,4518,275,930
48,1,256,135,2838,247,94,668,376,219,438,0,8716,8716,531,964
72,1,8,44,109,66,31,65,36,10,21,0,702,702,42,380
72,1,16,44,208,67,31,65,36,21,43,0,902,902,55,581
72,1,32,43,363,68,31,66,36,43,87,0,1214,1214,74,864
72,1,64,47,746,70,31,120,66,87,175,0,2160,2178,132,969
72,1,128,75,1480,128,50,235,128,175,350,0,4192,4292,261,980
72,1,256,135,2838,247,94,468,252,350,701,0,8068,8310,506,1011
96,1,8,44,109,66,31,50,29,10,21,0,658,658,40,400
96,1,16,44,208,67,31,50,29,21,43,0,858,858,52,615
96,1,32,43,363,68,31,87,50,43,87,0,1284,1284,78,820
96,1,64,47,746,70,31,178,91,87,175,0,2326,2344,142,901
96,1,128,75,1480,128,50,336,189,175,350,0,4516,4616,281,911
96,1,256,135,2838,247,94,667,377,350,701,0,8716,8958,545,939
144,1,8,44,109,66,31,34,20,10,21,0,608,608,37,432
144,1,16,44,208,67,31,34,21,21,43,0,810,810,49,653
144,1,32,43,363,68,31,62,34,43,87,0,1202,1202,73,876
144,1,64,47,746,70,31,120,65,87,175,0,2158,2176,132,969
144,1,128,75,1480,128,50,235,127,175,350,0,4190,4290,261,980
144,1,256,135,2838,247,94,469,251,350,701,0,8068,8310,506,1011
288,1,8,44,109,66,31,20,11,10,21,0,562,562,34,470
288,1,16,44,208,67,31,33,18,21,43,0,802,802,48,666
288,1,32,43,363,68,31,61,33,43,87,0,1198,1198,73,876
288,1,64,47,746,70,31,119,65,87,175,0,2156,2174,132,969
288,1,128,75,1480,128,50,234,127,175,350,0,4188,4288,261,980
288,1,256,135,2838,247,94,468,253,350,701,0,8070,8312,506,1011
16,2,16,32,110,35,31,278,145,5,5,5,1272,1272,77,207
16,2,32,31,201,36,31,278,146,5,5,5,1456,1456,88,363
16,2,64,32,385,38,31,278,145,5,10,5,1828,1828,111,576
16,2,128,49,743,68,50,279,146,10,21,9,2688,2688,163,785
24,2,8,32,61,35,31,176,101,5,5,5,882,882,53,150
24,2,16,32,110,35,31,176,102,5,5,5,982,982,59,271
24,2,32,31,201,36,31,176,102,5,10,5,1164,1164,71,450
24,2,64,32,385,38,31,176,102,10,21,5,1538,1538,93,688
24,2,128,49,743,68,50,176,102,21,43,9,2394,2394,146,876
32,2,8,32,61,35,31,141,76,5,5,5,762,762,46,173
32,2,16,32,110,35,31,141,76,5,8,5,860,860,52,307
32,2,32,31,201,36,31,142,76,8,16,5,1044,1044,63,507
32,2,64,32,385,38,31,142,76,16,32,5,1418,1418,86,744
32,2,128,49,743,68,50,142,77,32,65,9,2276,2276,138,927
32,2,256,86,1454,129,94,270,137,65,131,18,4376,4376,266,962
48,2,8,32,61,35,31,96,52,5,6,5,624,624,38,210
48,2,16,32,110,35,31,96,52,6,13,5,722,722,44,363
48,2,32,31,201,36,31,96,52,13,27,5,904,904,55,581
48,2,64,32,385,38,31,96,52,27,54,5,1278,1278,77,831
48,2,128,49,743,68,50,178,92,54,109,9,2378,2378,145,882
48,2,256,86,1454,129,94,336,190,109,219,18,4614,4614,281,911
72,2,8,32,61,35,31,65,36,5,10,5,530,530,32,250
72,2,16,32,110,35,31,65,36,10,21,5,628,628,38,421
72,2,32,31,201,36,31,65,36,21,43,5,810,810,49,653
72,2,64,32,385,38,31,66,36,43,87,5,1186,1186,72,888
72,2,128,49,743,68,50,120,66,87,175,9,2210,2210,134,955
72,2,256,86,1454,129,94,235,128,175,350,18,4288,4288,261,980
96,2,8,32,61,35,31,49,29,5,10,5,484,484,29,275
96,2,16,32,110,35,31,50,29,10,21,5,584,584,35,457
96,2,32,31,201,36,31,50,29,21,43,5,766,766,46,695
96,2,64,32,385,38,31,87,50,43,87,5,1256,1256,76,842
96,2,128,49,743,68,50,177,91,87,175,9,2374,2374,144,888
96,2,256,86,1454,129,94,336,190,175,350,18,4614,4614,281,911
144,2,8,32,61,35,31,34,20,5,10,5,436,436,26,307
144,2,16,32,110,35,31,34,20,10,21,5,534,534,32,500
144,2,32,31,201,36,31,34,21,21,43,5,718,718,43,744
144,2,64,32,385,38,31,62,34,43,87,5,1174,1174,71,901
144,2,128,49,743,68,50,120,65,87,175,9,2208,2208,134,955
144,2,256,86,1454,129,94,235,127,175,350,18,4286,4286,261,980
288,2,8,32,61,35,31,20,11,5,10,5,390,390,23,347
288,2,16,32,110,35,31,20,11,10,21,5,488,488,29,551
288,2,32,31,201,36,31,33,18,21,43,5,710,710,43,744
288,2,64,32,385,38,31,61,33,43,87,5,1170,1170,71,901
288,2,128,49,743,68,50,119,64,87,175,9,2204,2204,134,955
288,2,256,86,1454,129,94,234,127,175,350,18,4284,4284,261,980
16,4,32,24,208,21,31,278,145,5,5,5,1424,1424,86,186
16,4,64,25,410,22,31,278,145,5,5,7,1836,1836,111,288
