matrix_idx,tp,batch,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
3,1,128,8,512,128,5,29,1986
3,2,64,8,512,128,3,21,1385
3,4,32,8,512,128,2,18,1180
3,8,16,8,512,128,2,10,694
9,1,128,8,128,512,4,30,2022
9,2,64,8,128,512,2,29,1986
9,4,32,8,128,512,2,18,1190
9,8,16,8,128,512,2,9,620
3,1,128,16,512,128,5,56,2030
3,2,64,16,512,128,3,41,1490
3,4,32,16,512,128,2,32,1172
3,8,16,16,512,128,2,20,720
9,1,128,16,128,512,5,56,2024
9,2,64,16,128,512,2,54,1941
9,4,32,16,128,512,2,35,1253
9,8,16,16,128,512,2,18,654
3,1,128,32,512,128,5,102,2087
3,2,64,32,512,128,3,79,1629
3,4,32,32,512,128,2,55,1134
3,8,16,32,512,128,2,36,742
9,1,128,32,128,512,6,93,1913
9,2,64,32,128,512,3,86,1773
9,4,32,32,128,512,2,60,1225
9,8,16,32,128,512,2,36,731
3,1,128,64,512,128,8,140,1776
3,2,64,64,512,128,4,133,1683
3,4,32,64,512,128,3,81,1028
3,8,16,64,512,128,2,59,744
9,1,128,64,128,512,8,128,1620
9,2,64,64,128,512,5,119,1505
9,4,32,64,128,512,3,92,1171
9,8,16,64,128,512,2,60,766
3,1,128,128,512,128,12,180,1584
3,2,64,128,512,128,7,163,1435
3,4,32,128,512,128,5,110,967
3,8,16,128,512,128,3,84,741
9,1,128,128,128,512,13,160,1409
9,2,64,128,128,512,8,140,1227
9,4,32,128,128,512,4,124,1089
9,8,16,128,128,512,3,93,818
3,1,128,256,512,128,21,207,1416
3,2,64,256,512,128,11,189,1295
3,4,32,256,512,128,7,162,1110
3,8,16,256,512,128,5,112,768
9,1,128,256,128,512,21,205,1402
9,2,64,256,128,512,13,164,1123
9,4,32,256,128,512,7,148,1012
9,8,16,256,128,512,4,124,849
