matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
1,1,8,2112,7168,15,16,998
2,1,8,24576,1536,24,25,1573
2,2,8,12288,1536,14,22,1402
2,4,8,6144,1536,7,20,1281
2,8,8,3072,1536,5,14,908
4,1,8,7168,16384,62,30,1908
4,2,8,7168,8192,33,29,1787
4,4,8,7168,4096,19,25,1584
4,8,8,7168,2048,11,22,1363
5,1,8,4096,7168,20,24,1486
6,1,8,7168,2048,11,22,1363
1,1,16,2112,7168,15,33,1032
2,1,16,24576,1536,24,49,1579
2,2,16,12288,1536,14,44,1418
2,4,16,6144,1536,8,39,1263
2,8,16,3072,1536,5,28,911
4,1,16,7168,16384,62,61,1909
4,2,16,7168,8192,33,57,1785
4,4,16,7168,4096,19,51,1594
4,8,16,7168,2048,11,43,1362
5,1,16,4096,7168,20,47,1491
6,1,16,7168,2048,11,43,1367
1,1,32,2112,7168,14,71,1139
2,1,32,24576,1536,24,99,1608
2,2,32,12288,1536,14,88,1438
2,4,32,6144,1536,8,80,1309
2,8,32,3072,1536,5,56,925
4,1,32,7168,16384,62,122,1916
4,2,32,7168,8192,33,114,1801
4,4,32,7168,4096,19,100,1599
4,8,32,7168,2048,11,86,1390
5,1,32,4096,7168,20,95,1504
6,1,32,7168,2048,11,86,1389
1,1,64,2112,7168,14,142,1160
2,1,64,24576,1536,25,195,1658
2,2,64,12288,1536,14,175,1485
2,4,64,6144,1536,8,158,1348
2,8,64,3072,1536,5,114,984
4,1,64,7168,16384,62,243,1929
4,2,64,7168,8192,33,226,1809
4,4,64,7168,4096,19,200,1622
4,8,64,7168,2048,11,169,1419
5,1,64,4096,7168,20,188,1517
6,1,64,7168,2048,11,170,1421
1,1,128,2112,7168,20,198,849
2,1,128,24576,1536,43,223,1022
2,2,128,12288,1536,22,217,997
2,4,128,6144,1536,12,199,924
2,8,128,3072,1536,7,165,778
4,1,128,7168,16384,115,262,1057
4,2,128,7168,8192,60,251,1030
4,4,128,7168,4096,32,233,984
4,8,128,7168,2048,18,209,931
5,1,128,4096,7168,32,232,967
6,1,128,7168,2048,18,209,935
1,1,256,2112,7168,32,241,562
2,1,256,24576,1536,82,235,616
2,2,256,12288,1536,43,226,598
2,4,256,6144,1536,22,223,598
2,8,256,3072,1536,12,202,558
4,1,256,7168,16384,226,266,554
4,2,256,7168,8192,116,259,556
4,4,256,7168,4096,62,244,553
4,8,256,7168,2048,33,226,568
5,1,256,4096,7168,61,248,550
6,1,256,7168,2048,33,226,567
