d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
16,18,8,4,7,1,4,4096,7168,184,23,2875
16,18,8,4,8,1,4,7168,2048,97,22,2736
16,18,16,8,7,1,8,4096,7168,182,47,2923
16,18,16,8,8,1,8,7168,2048,98,43,2717
16,18,32,16,7,1,16,4096,7168,183,93,2920
16,18,32,16,8,1,16,7168,2048,100,85,2699
16,18,64,32,7,1,32,4096,7168,185,183,2904
16,18,64,32,8,1,32,7168,2048,101,167,2709
16,18,128,64,7,1,64,4096,7168,189,358,2894
16,18,128,64,8,1,64,7168,2048,103,328,2743
24,12,8,8,7,1,8,4096,7168,125,45,2840
24,12,8,8,8,1,8,7168,2048,68,41,2609
24,12,16,16,7,1,16,4096,7168,125,90,2837
24,12,16,16,8,1,16,7168,2048,68,82,2618
24,12,32,32,7,1,32,4096,7168,127,177,2815
24,12,32,32,8,1,32,7168,2048,69,163,2644
24,12,64,64,7,1,64,4096,7168,129,348,2812
24,12,64,64,8,1,64,7168,2048,70,320,2679
24,12,128,128,7,1,128,4096,7168,135,666,2776
24,12,128,128,8,1,128,7168,2048,75,605,2701
32,9,8,8,7,1,8,4096,7168,98,43,2719
32,9,8,8,8,1,8,7168,2048,54,39,2453
32,9,16,16,7,1,16,4096,7168,97,87,2747
32,9,16,16,8,1,16,7168,2048,55,77,2465
32,9,32,32,7,1,32,4096,7168,98,172,2736
32,9,32,32,8,1,32,7168,2048,55,155,2502
32,9,64,64,7,1,64,4096,7168,99,340,2746
32,9,64,64,8,1,64,7168,2048,56,304,2542
32,9,128,128,7,1,128,4096,7168,105,643,2679
32,9,128,128,8,1,128,7168,2048,60,565,2521
32,9,256,256,7,1,256,4096,7168,147,918,2033
32,9,256,256,8,1,256,7168,2048,83,813,2042
48,6,8,16,7,1,16,4096,7168,68,82,2594
48,6,8,16,8,1,16,7168,2048,39,73,2322
48,6,16,32,7,1,32,4096,7168,69,162,2578
48,6,16,32,8,1,32,7168,2048,39,146,2364
48,6,32,64,7,1,64,4096,7168,70,321,2593
48,6,32,64,8,1,64,7168,2048,39,288,2407
48,6,64,128,7,1,128,4096,7168,73,614,2558
48,6,64,128,8,1,128,7168,2048,41,547,2440
48,6,128,256,7,1,256,4096,7168,95,946,2094
48,6,128,256,8,1,256,7168,2048,53,849,2132
48,6,256,512,7,1,512,4096,7168,176,1022,1266
48,6,256,512,8,1,512,7168,2048,103,876,1344
72,4,8,16,7,1,16,4096,7168,48,78,2445
72,4,8,16,8,1,16,7168,2048,27,70,2233
