d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,39,110,115,39,212,0,5,5,0,1030,1030,62,258
16,1,16,39,212,104,31,226,0,5,5,0,1224,1224,74,432
16,1,32,43,332,106,33,229,0,5,10,0,1486,1486,90,711
16,1,64,49,650,103,33,231,0,10,21,0,2132,2132,130,984
16,1,128,68,1251,145,35,279,0,21,43,0,3556,3556,216,1185
24,1,8,39,110,115,39,169,0,5,5,0,944,944,57,280
24,1,16,39,212,104,31,171,0,5,10,0,1114,1114,67,477
24,1,32,43,332,106,33,183,0,10,21,0,1394,1394,85,752
24,1,64,49,650,103,33,187,0,21,43,0,2044,2044,124,1032
24,1,128,68,1251,145,35,267,0,43,87,0,3532,3532,215,1190
32,1,8,39,110,115,39,146,0,5,8,0,898,898,54,296
32,1,16,39,212,104,31,147,0,8,16,0,1066,1066,65,492
32,1,32,43,332,106,33,167,0,16,32,0,1362,1362,83,771
32,1,64,49,650,103,33,171,0,32,65,0,2012,2012,122,1049
32,1,128,68,1251,145,35,239,0,65,131,0,3476,3476,212,1207
32,1,256,99,2479,189,66,462,0,131,262,0,6590,6590,401,1276
48,1,8,39,110,115,39,128,0,6,13,0,862,862,52,307
48,1,16,39,212,104,31,134,0,13,27,0,1040,1040,63,507
48,1,32,43,332,106,33,149,0,27,54,0,1326,1326,80,800
48,1,64,49,650,103,33,212,0,54,109,0,2094,2094,127,1007
48,1,128,68,1251,145,35,250,0,109,219,0,3498,3510,214,1196
48,1,256,99,2479,189,66,475,0,219,438,0,6616,6724,409,1251
72,1,8,39,110,115,39,112,0,10,21,0,830,830,50,320
72,1,16,39,212,104,31,113,0,21,43,0,998,998,60,533
72,1,32,43,332,106,33,131,0,43,87,0,1290,1290,78,820
72,1,64,49,650,103,33,198,0,87,175,0,2066,2076,126,1015
72,1,128,68,1251,145,35,210,0,175,350,0,3418,3562,216,1185
72,1,256,99,2479,189,66,440,0,350,701,0,6546,6916,420,1219
96,1,8,39,110,115,39,101,0,10,21,0,808,808,49,326
96,1,16,39,212,104,31,114,0,21,43,0,1000,1000,61,524
96,1,32,43,332,106,33,172,0,43,87,0,1372,1372,83,771
96,1,64,49,650,103,33,177,0,87,175,0,2024,2034,124,1032
96,1,128,68,1251,145,35,257,0,175,350,0,3512,3656,222,1153
96,1,256,99,2479,189,66,505,0,350,701,0,6676,7046,428,1196
144,1,8,39,110,115,39,93,0,10,21,0,792,792,48,333
144,1,16,39,212,104,31,104,0,21,43,0,980,980,59,542
144,1,32,43,332,106,33,154,0,43,87,0,1336,1336,81,790
144,1,64,49,650,103,33,159,0,87,175,0,1988,1998,121,1057
144,1,128,68,1251,145,35,204,0,175,350,0,3406,3550,216,1185
144,1,256,99,2479,189,66,426,0,350,701,0,6518,6888,419,1221
288,1,8,39,110,115,39,94,0,10,21,0,794,794,48,333
288,1,16,39,212,104,31,137,0,21,43,0,1046,1046,63,507
288,1,32,43,332,106,33,139,0,43,87,0,1306,1306,79,810
288,1,64,49,650,103,33,150,0,87,175,0,1970,1980,120,1066
288,1,128,68,1251,145,35,246,0,175,350,0,3490,3634,221,1158
288,1,256,99,2479,189,66,490,0,350,701,0,6646,7016,426,1201
16,2,16,36,109,27,31,213,0,5,5,5,842,842,51,313
16,2,32,36,208,27,33,225,0,5,5,5,1068,1068,65,492
16,2,64,42,358,28,33,228,0,5,10,5,1388,1388,84,761
16,2,128,50,699,54,35,231,0,10,21,9,2156,2156,131,977
24,2,8,37,76,33,39,166,0,5,5,5,712,712,43,186
24,2,16,36,109,27,31,170,0,5,5,5,756,756,46,347
24,2,32,36,208,27,33,173,0,5,10,5,964,964,58,551
24,2,64,42,358,28,33,185,0,10,21,5,1302,1302,79,810
24,2,128,50,699,54,35,189,0,21,43,9,2072,2072,126,1015
32,2,8,37,76,33,39,146,0,5,5,5,672,672,40,200
32,2,16,36,109,27,31,146,0,5,8,5,708,708,43,372
32,2,32,36,208,27,33,149,0,8,16,5,916,916,55,581
32,2,64,42,358,28,33,167,0,16,32,5,1266,1266,77,831
32,2,128,50,699,54,35,170,0,32,65,9,2034,2034,124,1032
32,2,256,69,1254,81,66,240,0,65,131,18,3456,3456,210,1219
48,2,8,37,76,33,39,125,0,5,6,5,630,630,38,210
48,2,16,36,109,27,31,127,0,6,13,5,670,670,40,400
48,2,32,36,208,27,33,135,0,13,27,5,888,888,54,592
48,2,64,42,358,28,33,150,0,27,54,5,1232,1232,75,853
48,2,128,50,699,54,35,212,0,54,109,9,2118,2118,129,992
48,2,256,69,1254,81,66,251,0,109,219,18,3478,3478,212,1207
72,2,8,37,76,33,39,112,0,5,10,5,604,604,36,222
72,2,16,36,109,27,31,113,0,10,21,5,642,642,39,410
72,2,32,36,208,27,33,114,0,21,43,5,846,846,51,627
72,2,64,42,358,28,33,131,0,43,87,5,1194,1194,72,888
72,2,128,50,699,54,35,192,0,87,175,9,2078,2082,126,1015
72,2,256,69,1254,81,66,211,0,175,350,18,3398,3478,211,1213
96,2,8,37,76,33,39,98,0,5,10,5,576,576,35,228
96,2,16,36,109,27,31,101,0,10,21,5,618,618,37,432
96,2,32,36,208,27,33,114,0,21,43,5,846,846,51,627
96,2,64,42,358,28,33,174,0,43,87,5,1280,1280,78,820
96,2,128,50,699,54,35,177,0,87,175,9,2048,2052,125,1024
96,2,256,69,1254,81,66,255,0,175,350,18,3486,3566,217,1179
144,2,8,37,76,33,39,94,0,5,10,5,568,568,34,235
144,2,16,36,109,27,31,94,0,10,21,5,604,604,36,444
144,2,32,36,208,27,33,105,0,21,43,5,828,828,50,640
144,2,64,42,358,28,33,155,0,43,87,5,1242,1242,75,853
144,2,128,50,699,54,35,159,0,87,175,9,2012,2016,122,1049
144,2,256,69,1254,81,66,205,0,175,350,18,3386,3466,211,1213
288,2,8,37,76,33,39,81,0,5,10,5,542,542,33,242
288,2,16,36,109,27,31,93,0,10,21,5,602,602,36,444
