matrix_idx,tp,batch,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
3,1,128,8,512,128,8,16,1153
3,2,64,8,512,128,7,10,717
3,4,32,8,512,128,5,6,446
3,8,16,8,512,128,5,3,249
9,1,128,8,128,512,9,15,1053
9,2,64,8,128,512,8,9,601
9,4,32,8,128,512,8,4,296
9,8,16,8,128,512,8,2,148
3,1,128,16,512,128,8,33,1307
3,2,64,16,512,128,6,21,852
3,4,32,16,512,128,5,13,532
3,8,16,16,512,128,4,8,302
9,1,128,16,128,512,10,26,976
9,2,64,16,128,512,7,18,670
9,4,32,16,128,512,8,9,325
9,8,16,16,128,512,8,4,159
3,1,128,32,512,128,13,40,977
3,2,64,32,512,128,9,29,720
3,4,32,32,512,128,6,21,519
3,8,16,32,512,128,5,14,340
9,1,128,32,128,512,14,38,807
9,2,64,32,128,512,9,29,614
9,4,32,32,128,512,8,17,361
9,8,16,32,128,512,7,9,195
3,1,128,64,512,128,13,84,1398
3,2,64,64,512,128,9,57,946
3,4,32,64,512,128,7,41,685
3,8,16,64,512,128,5,25,407
9,1,128,64,128,512,17,65,882
9,2,64,64,128,512,13,41,566
9,4,32,64,128,512,9,31,429
9,8,16,64,128,512,7,19,258
3,1,128,128,512,128,20,107,1362
3,2,64,128,512,128,12,93,1182
3,4,32,128,512,128,8,69,878
3,8,16,128,512,128,6,45,573
9,1,128,128,128,512,22,96,938
9,2,64,128,128,512,20,55,534
9,4,32,128,128,512,10,53,519
9,8,16,128,128,512,7,40,389
3,1,128,256,512,128,29,146,1567
3,2,64,256,512,128,17,125,1338
3,4,32,256,512,128,13,84,902
3,8,16,256,512,128,7,76,817
9,1,128,256,128,512,34,128,999
9,2,64,256,128,512,19,111,870
9,4,32,256,128,512,16,68,530
9,8,16,256,128,512,9,60,467
