d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
16,18,8,4,7,1,4,7168,2048,212,10,1252
16,18,16,8,7,1,8,7168,2048,226,19,1179
16,18,32,16,7,1,16,7168,2048,229,37,1174
16,18,64,32,7,1,32,7168,2048,231,73,1184
16,18,128,64,7,1,64,7168,2048,279,121,1014
24,12,8,8,7,1,8,7168,2048,169,17,1054
24,12,16,16,7,1,16,7168,2048,171,33,1049
24,12,32,32,7,1,32,7168,2048,183,62,996
24,12,64,64,7,1,64,7168,2048,187,120,1008
24,12,128,128,7,1,128,7168,2048,267,169,754
32,9,8,8,7,1,8,7168,2048,146,14,910
32,9,16,16,7,1,16,7168,2048,147,29,917
32,9,32,32,7,1,32,7168,2048,167,50,817
32,9,64,64,7,1,64,7168,2048,171,99,830
32,9,128,128,7,1,128,7168,2048,239,142,633
32,9,256,256,7,1,256,7168,2048,462,147,368
48,6,8,16,7,1,16,7168,2048,128,22,703
48,6,16,32,7,1,32,7168,2048,134,42,679
48,6,32,64,7,1,64,7168,2048,149,76,633
48,6,64,128,7,1,128,7168,2048,212,106,475
48,6,128,256,7,1,256,7168,2048,250,181,454
48,6,256,512,7,1,512,7168,2048,475,190,291
72,4,8,16,7,1,16,7168,2048,112,17,533
72,4,16,32,7,1,32,7168,2048,113,33,539
72,4,32,64,7,1,64,7168,2048,131,58,482
72,4,64,128,7,1,128,7168,2048,198,76,339
72,4,128,256,7,1,256,7168,2048,210,143,359
72,4,256,512,7,1,512,7168,2048,440,137,210
96,3,8,32,7,1,32,7168,2048,101,28,452
96,3,16,64,7,1,64,7168,2048,114,50,415
96,3,32,128,7,1,128,7168,2048,172,65,292
96,3,64,256,7,1,256,7168,2048,177,127,319
96,3,128,512,7,1,512,7168,2048,257,175,269
96,3,256,1024,7,1,1024,7168,2048,505,179,187
144,2,8,32,7,1,32,7168,2048,93,20,326
144,2,16,64,7,1,64,7168,2048,104,36,302
144,2,32,128,7,1,128,7168,2048,154,49,218
144,2,64,256,7,1,256,7168,2048,159,95,238
144,2,128,512,7,1,512,7168,2048,204,147,226
144,2,256,1024,7,1,1024,7168,2048,426,141,148
288,1,8,64,7,1,64,7168,2048,94,20,167
288,1,16,128,7,1,128,7168,2048,137,27,123
288,1,32,256,7,1,256,7168,2048,139,54,136
288,1,64,512,7,1,512,7168,2048,150,100,154
288,1,128,1024,7,1,1024,7168,2048,246,122,128
288,1,256,2048,7,1,2048,7168,2048,490,123,98
16,18,16,4,7,1,4,7168,2048,213,10,1246
16,18,32,8,7,1,8,7168,2048,225,19,1185
16,18,64,16,7,1,16,7168,2048,228,37,1177
16,18,128,32,7,1,32,7168,2048,231,73,1185
24,12,8,4,7,1,4,7168,2048,166,8,1064
24,12,16,8,7,1,8,7168,2048,170,17,1048
24,12,32,16,7,1,16,7168,2048,173,33,1038
24,12,64,32,7,1,32,7168,2048,185,61,989
